,name,features,all_matches,true_matches,error_all_matches,error_true_matches,size,time
92,photo_2020-10-03_17-25-19.jpg,1500.0,43.0,8.0,51.2093,41.5,"(1276, 1276)",0.0559
93,photo_2020-10-03_17-25-21 (2).jpg,1500.0,148.0,37.0,44.4527,35.0,"(1276, 1276)",0.0419
94,photo_2020-10-03_17-25-21.jpg,1500.0,34.0,10.0,47.8824,44.9,"(1276, 1276)",0.0199
95,photo_2020-10-03_17-25-23 (2).jpg,1500.0,86.0,16.0,49.6395,42.125,"(1276, 1276)",0.0549
96,photo_2020-10-03_17-25-23.jpg,1500.0,355.0,99.0,43.1718,35.1414,"(1276, 1276)",0.0549
97,photo_2020-10-03_17-25-24.jpg,1500.0,298.0,38.0,48.0,40.1053,"(1276, 1276)",0.0778
98,photo_2020-10-03_17-25-25.jpg,1500.0,299.0,28.0,46.5117,40.6429,"(1276, 1276)",0.0818
99,photo_2020-10-03_17-25-26.jpg,1500.0,347.0,46.0,51.2478,44.6087,"(1276, 1276)",0.0848
100,photo_2020-10-03_17-25-46.jpg,1500.0,319.0,13.0,51.279,45.3846,"(1276, 956)",0.0838
101,photo_2020-10-03_17-25-47.jpg,1500.0,332.0,20.0,50.1355,43.85,"(1276, 956)",0.0838
102,photo_2020-10-03_17-25-48 (2).jpg,1500.0,293.0,10.0,51.4505,52.3,"(1276, 956)",0.0808
103,photo_2020-10-03_17-25-48.jpg,1500.0,342.0,16.0,51.7339,50.0,"(1276, 956)",0.0838
104,photo_2020-10-03_17-25-50 (2).jpg,1500.0,322.0,24.0,47.9845,35.375,"(1276, 956)",0.0848
105,photo_2020-10-03_17-25-50.jpg,1500.0,306.0,34.0,51.4641,44.3824,"(1276, 956)",0.0838
106,photo_2020-10-03_17-25-51.jpg,1500.0,287.0,15.0,50.0523,35.3333,"(1276, 956)",0.0858
107,photo_2020-10-03_17-25-52.jpg,1500.0,279.0,15.0,50.4158,33.9333,"(1276, 956)",0.0838
108,photo_2020-10-03_17-25-54.jpg,1500.0,303.0,12.0,50.4686,45.9167,"(1276, 956)",0.0838
109,photo_2020-10-03_17-25-55.jpg,1500.0,24.0,7.0,52.25,43.2857,"(1276, 956)",0.0209
110,photo_2020-10-03_17-25-57.jpg,1500.0,201.0,12.0,57.8358,58.5833,"(1276, 956)",0.0638
111,photo_2020-10-03_17-25-58.jpg,1500.0,321.0,12.0,53.2181,53.5,"(1276, 956)",0.0838
112,photo_2020-10-03_17-25-59.jpg,1500.0,327.0,15.0,49.0336,49.3333,"(1276, 956)",0.1227
113,photo_2020-10-03_17-26-00.jpg,1500.0,296.0,24.0,47.473,37.1667,"(1276, 956)",0.1227
114,photo_2020-10-03_17-26-01.jpg,1500.0,192.0,10.0,47.7135,45.3,"(1276, 956)",0.0648
115,photo_2020-10-03_17-26-02.jpg,1500.0,290.0,20.0,49.3966,42.0,"(1276, 956)",0.0768
116,photo_2020-10-03_17-26-03.jpg,1500.0,327.0,12.0,50.9847,52.1667,"(1276, 956)",0.0838
117,photo_2020-10-03_17-26-04.jpg,1500.0,324.0,15.0,50.2068,33.8667,"(1276, 956)",0.0838
118,photo_2020-10-03_17-26-05 (2).jpg,1500.0,359.0,27.0,46.3231,34.037,"(1276, 956)",0.0848
119,photo_2020-10-03_17-26-05.jpg,1500.0,37.0,11.0,57.5676,51.0,"(1276, 956)",0.0199
120,photo_2020-10-03_17-27-11.jpg,,,,,,,
121,photo_2020-10-03_17-27-12.jpg,1500.0,185.0,9.0,61.373,65.7778,"(1276, 956)",0.0628
122,photo_2020-10-03_17-27-13.jpg,,,,,,,
